ID;"1 English";"2 French";"3 German";"4 Spanish";"5 Italian";Abbreviation;Icon;"Release Date";"Is Released";"Game ID"
1407;"Magic the Gathering Products";"Magic the Gathering Products";"Magic the Gathering Products";"Magic the Gathering Products";"Magic the Gathering Products";MTGP;202;1900-01-01T00:00:00+0100;1;1
1408;"Filler Cards";"Filler Cards";"Filler Cards";"Filler Cards";"Filler Cards";MGFC;203;1900-01-01T00:00:00+0100;1;1
1249;Promos;Promos;Promos;Promos;Promos;PROM;179;1993-01-01T00:00:00+0100;1;1
1281;"Your Move Games Tokens";"Your Move Games Tokens";"Your Move Games Spielsteine";"Your Move Games Tokens";"Your Move Games Tokens";YMGT;193;1993-01-01T00:00:00+0100;1;1
1438;"Starcity Games: Justin Treadway Tokens";"Starcity Games: Justin Treadway Tokens";"Starcity Games: Justin Treadway Tokens";"Starcity Games: Justin Treadway Tokens";"Starcity Games: Justin Treadway Tokens";SCT2;217;1993-01-01T00:00:00+0100;1;1
1499;"Custom Tokens";"Custom Tokens";"Custom Tokens";"Custom Tokens";"Custom Tokens";MKMT;257;1993-01-01T00:00:00+0100;1;1
1500;"Starcity Games: Commemorative Tokens";"Starcity Games: Commemorative Tokens";"Starcity Games: Commemorative Tokens";"Starcity Games: Commemorative Tokens";"Starcity Games: Commemorative Tokens";SCT3;217;1993-01-01T00:00:00+0100;1;1
1501;"Starcity Games: Creature Collection";"Starcity Games: Creature Collection";"Starcity Games: Creature Collection";"Starcity Games: Creature Collection";"Starcity Games: Creature Collection";SCCC;217;1993-01-01T00:00:00+0100;1;1
1502;"Tokens for MTG";"Tokens for MTG";"Tokens for MTG";"Tokens for MTG";"Tokens for MTG";MSTK;258;1993-01-01T00:00:00+0100;1;1
1511;"Tierra Media Tokens";"Tierra Media Tokens";"Tierra Media Tokens";"Tierra Media Tokens";"Tierra Media Tokens";TMP;261;1993-01-01T00:00:00+0100;1;1
1512;"Starcity Games: Kristen Plescow Tokens";"Starcity Games: Kristen Plescow Tokens";"Starcity Games: Kristen Plescow Tokens";"Starcity Games: Kristen Plescow Tokens";"Starcity Games: Kristen Plescow Tokens";SCT4;217;1993-01-01T00:00:00+0100;1;1
1514;"Starcity Games: Token Series One";"Starcity Games: Token Series One";"Starcity Games: Token Series One";"Starcity Games: Token Series One";"Starcity Games: Token Series One";SCT1;217;1993-01-01T00:00:00+0100;1;1
1515;"TokyoMTG Products";"TokyoMTG Products";"TokyoMTG Products";"TokyoMTG Products";"TokyoMTG Products";TOKY;262;1993-01-01T00:00:00+0100;1;1
1594;"League Promos";"League Promos";"League Promos";"League Promos";"League Promos";LET;333;1993-01-01T00:00:00+0100;1;1
1642;"GamingEtc Tokens";"GamingEtc Tokens";"GamingEtc Tokens";"GamingEtc Tokens";"GamingEtc Tokens";GETC;363;1993-01-01T00:00:00+0100;1;1
1659;"Yummy Tokens";"Yummy Tokens";"Yummy Tokens";"Yummy Tokens";"Yummy Tokens";YUM;371;1993-01-01T00:00:00+0100;1;1
1691;"GnD Cards";"GnD Cards";"GnD Cards";"GnD Cards";"GnD Cards";GnDT;380;1993-01-01T00:00:00+0100;1;1
1705;"Javi Alterations Tokens";"Javi Alterations Tokens";"Javi Alterations Tokens";"Javi Alterations Tokens";"Javi Alterations Tokens";JAT;385;1993-01-01T00:00:00+0100;1;1
1765;"Mezzocielo & Friends Mini Tokens";"Mezzocielo & Friends Mini Tokens";"Mezzocielo & Friends Mini Tokens";"Mezzocielo & Friends Mini Tokens";"Mezzocielo & Friends Mini Tokens";MFMT;405;1993-01-01T00:00:00+0100;1;1
1809;"Standard Series Promos";"Standard Series Promos";"Standard Series Promos";"Standard Series Promos";"Standard Series Promos";SSP;411;1993-01-01T00:00:00+0100;1;1
1833;"Rk post Products";"Rk post Products";"Rk post Products";"Rk post Products";"Rk post Products";RKP;423;1993-01-01T00:00:00+0100;1;1
1834;"Mezzocielo & Friends Classic Tokens";"Mezzocielo & Friends Classic Tokens";"Mezzocielo & Friends Classic Tokens";"Mezzocielo & Friends Classic Tokens";"Mezzocielo & Friends Classic Tokens";MFCT;405;1993-01-01T00:00:00+0100;1;1
2114;"Johannes Voss Tokens";"Johannes Voss Tokens";"Johannes Voss Tokens";"Johannes Voss Tokens";"Johannes Voss Tokens";JVT;462;1993-01-01T00:00:00+0100;1;1
2360;"Old School Tokens";"Old School Tokens";"Old School Tokens";"Old School Tokens";"Old School Tokens";OST;481;1993-01-01T00:00:00+0100;1;1
2417;"Heroes of the Realm Promos";"Heroes of the Realm Promos";"Heroes of the Realm Promos";"Heroes of the Realm Promos";"Heroes of the Realm Promos";HTR;496;1993-01-01T00:00:00+0100;1;1
2457;"Mark Poole Tokens";"Mark Poole Tokens";"Mark Poole Tokens";"Mark Poole Tokens";"Mark Poole Tokens";MPT;509;1993-01-01T00:00:00+0100;1;1
2517;"Aaron Miller Tokens";"Aaron Miller Tokens";"Aaron Miller Tokens";"Aaron Miller Tokens";"Aaron Miller Tokens";TOK1;518;1993-01-01T00:00:00+0100;1;1
2520;"ALRadeck Tokens";"ALRadeck Tokens";"ALRadeck Tokens";"ALRadeck Tokens";"ALRadeck Tokens";TOK2;519;1993-01-01T00:00:00+0100;1;1
